RefDes,PartDecal,Pins,Layer,Orient.,X,Y,SMD
R54,RESC1608N,2,Top,180,2858.267717,633.8582677,TRUE
R55,RESC1608N,2,Top,90,3075,625,TRUE
R56,RESC1608N,2,Bottom,180,2350.393701,614.1732283,TRUE
R57,RESC1608N,2,Bottom,0,114.1732283,1204.724409,TRUE
R58,RESC1608N,2,Bottom,0,114.1732283,1295.275591,TRUE
R59,RESC1608N,2,Top,270,2990,625,TRUE
R65,RESC5025N,2,Bottom,180,2893.700787,1740.15748,TRUE
R66,RESC5025N,2,Bottom,180,2893.700787,1870.07874,TRUE
R67,RESC1608N,2,Bottom,180,1149.606299,1259.84252,TRUE
R68,RESC1608N,2,Bottom,90,444.4330709,864.4173228,TRUE
RP1,RESN_CTS746,10,Top,270,1003.937008,681.1023622,TRUE
RP2,RESN_CTS746,10,Top,0,393.7007874,1732.283465,TRUE
S1,SW_EVQP1,4,Top,90,370.0787402,2125.984252,TRUE
U1,SQFP50P2200X2200-144N,146,Top,180,1200.787402,1311.023622,TRUE
U2,TSSOP50P490-10N,10,Top,0,2004,116,TRUE
U3,TSSOP50P490-10N,10,Top,0,2270,117,TRUE
U4,TSSOP50P2000-56N,56,Top,270,2125.984252,1350.393701,TRUE
U5,TSOP80P1175-44N,44,Bottom,0,1047.244094,2255.905512,TRUE
U6,TSOP80P1175-44N,44,Top,0,1047.244094,2255.905512,TRUE
U7,TSOP65P640-16N,16,Bottom,0,2007.874016,1507.874016,TRUE
U8,TSOP80P1175-44N,44,Top,0,1724.409449,2255.905512,TRUE
U9,TSOP80P1175-44N,44,Bottom,0,1724.409449,2255.905512,TRUE
U10,SOIC127P600-8N,8,Top,0,2007.874016,425.1968504,TRUE
U11,SOIC127P600-8N,8,Bottom,90,3149.606299,1692.913386,TRUE
U13,TSOP65P490-9N,9,Top,180,2787.401575,1039.370079,TRUE
U14,SOT95P280-3N,3,Top,90,413.3858268,2500,TRUE
U15,TSOP65P640-14N,14,Top,270,590.5511811,925.1968504,TRUE
U16,SOT95P280-6N,6,Top,180,3059.055118,1023.622047,TRUE
U17,TSSOP50P490-10N,10,Bottom,90,1311.023622,586.6141732,TRUE
U18,SOT95P280-6N,6,Bottom,180,724.4094488,661.4173228,TRUE
U19,TSOP65P640-14N,14,Top,0,2031.496063,688.976378,TRUE
U20,SOIC127P600-8N,8,Top,0,2350.393701,688.976378,TRUE
W1,HDR\DIP12,12,Top,270,78.74015748,2204.724409,FALSE
Y1,XTAL_CMJ206,3,Top,0,448.8188976,1507.874016,TRUE
Y2,XTAL_CM309S,4,Top,180,480.3149606,1291.338583,TRUE
Z3,FIDUCIAL\40X100,1,Top,0,120,710,TRUE
Z4,FIDUCIAL\40X100,1,Top,0,3228.346457,118.1102362,TRUE
Z5,FIDUCIAL\40X100,1,Top,0,3228.346457,2086.614173,TRUE
Z6,FIDUCIAL\40X100,1,Bottom,0,118.1102362,275.5905512,TRUE
Z7,FIDUCIAL\40X100,1,Bottom,0,3228.346457,118.1102362,TRUE
Z8,FIDUCIAL\40X100,1,Bottom,0,3228.346457,2086.614173,TRUE
Z9,MTG320-TOOLING,1,Top,0,173.2283465,2484.251969,FALSE
Z10,MTG320_700,1,Top,0,3161.417323,2484.251969,FALSE
Z11,MTG320_700,1,Top,0,173.2283465,944.8818898,FALSE
Z12,MTG320-TOOLING,1,Top,0,3161.417323,330.7086614,FALSE
